"corpus","preloaded/trends_en"
"subcorpus","-"
"concordance size","10000"
"query","Query:alemma,[word=""black""][word=""leather""];Random sample:10000"
"Reference","Left","KWIC","Right"
"2016-10-05","back in a sleek ponytail. </s><s> Karlie Kloss wore a similar outfit which featured a red white and blue mullet dress teamed with","black leather","jacket. </s><s> The tight stuff: Sophie''s ensemble included a keyhole neckline while it hung short at the front with longer"
"2016-10-14","was played in court. </s><s> The Prosecution says the Lower Hutt woman, who is seen on the streets of Surfers Paradise wearing a","black leather","jacket and black jeans, is ''slight'' and ''petite'' compared to ''tall, muscular'' Tostee. </s><s> In closing, Mr Cash told the jury"
"2016-10-17",", would you? </s><s> If you knew all that, then you wouldn''t be here -- Saturday-morning sitting, ankle over knee on the posh","black leather","couch at the chic coffeeshop, next door to Good Karma Yoga, while your wife bends through her 9am Vinyasa Flow, pecking"
"2016-10-26","his motorcycle with a suspended license. </s><s> James Brady, 35, appeared before a judge in Manhattan Criminal Court in a","black leather","biker jacket Wednesday after spending the night behind bars over his latest legal dust-up. </s><s> He was released on his own"
"2016-10-27","wore the traditional Dracula drag of satin capes while others favored the more contemporary vampire chic of","black leather","jackets. </s><s> The stage was out on the café''s patio, and the poems were often punctuated with the whine of train whistles from"
"2016-10-28","a very sheer Givenchy gown, encrusted with Swarovski crystals. </s><s> Of course, she was heavily accessorized with a pair of","black leather","gloves, a belt and sandals, all from, you guessed it, Givenchy. </s><s> Another famous face who chose a sheer Givenchy frock was"
"2016-11-28","of Allen County, Indiana, are more conservative than most; they use open buggies, even during the winter, and they wear","black leather","shoes even in the hot summer. </s><s> Restrictions are not meant to impose suffering. </s><s> Disabled people are allowed to use"
"2016-12-08","British Fashion Council''s Model of the Year Award - wore a black cropped hoodie with thumb holes underneath a dramatic","black leather","long-line coat. </s><s> Putting a casual twist on the attire, the Guess model wore light blue ''mom'' jeans that gave just a tiny"
"2017-01-05","in a bid to help solve her murder. </s><s> A number of items were taken from Ms Fermendjin''s home, including a Russian made","black leather","handbag that is embossed on both sides, has a zip top and a metal buckle. </s><s> Anyone with information concerning Ms"
"2017-01-21","cleavage as she chose to go braless in a completely sheer black top. </s><s> Letting her hair down, she completed her look with a","black leather","jacket, a black mini skirt and a pair of beige thigh-high boots. </s><s> Bella Hadid in Paris tonight 🔥"
"2017-01-27",", ""Where are my smokers at?"" </s><s> She wore an enormous frazzled black wig, shades, a white-striped one piece, thigh-high","black leather","boots and was painted entirely red. </s><s> Known for her shocking nude and sexual performance art pieces done in the ''80''s punk"
"2017-03-02",". </s><s> Leigh-Anne put on a very busty display in a plunging denim top with matching hotpants, while Jesy looked great in a","black leather","top and camo hotpants which highlighted her slender thighs. </s><s> On Wednesday the girls attended a CD signing at FYE in a"
"2017-03-19","two pictures, which reminded of Salman Khan''s characters in Judwaa. </s><s> While one photo of the Raees actor showed him in a","black leather","jacket posing on a bike with full on ''cool dude'' attitude, the other picture has him all suited up. </s><s> Take a look at top"
"2017-03-21","they saw Ortega enter through the side door of the locker room behind Patriots coach Bill Belichick and others with a","black leather","bag over his arm. </s><s> Belichick goes in one direction, while Ortega goes in the other toward the players'' area, according to"
"2017-03-23","had a huge smile on her face as she stood beside her guys, her son and husband of six years. </s><s> Rock on! </s><s> The Kiss singer wore a","black leather","coat, jeans, ankle boots, a hat and sunglasses </s><s> His leading lady! </s><s> Gene and his wife Shannon have been together for over"
"2017-03-25","to convey the idea. </s><s> IMAGE: There were zips on pants, sleeves, jackets and even hats. </s><s> IMAGE: Lee dressed his models in","black leather","giant zips taped across their mouth. </s><s> IMAGE: The collection mostly had unisex street wear along with sporty and"
"2017-03-27","cloth track pants in washed gray and pink, diaphanous double-pleated slip dresses, tailored riding stirrup pants, a","black leather","trench coat and a short leather skirt printed with the slogan ""Oprah for President 2020."" </s><s> ""It''s about the mix and about"
"2017-03-29","windows that let in natural light made the new restaurant''s decor more modern than the old landmark''s","black leather","booths and red chairs. </s><s> The Ritz Prime Seafood''s menu featured items such as grilled lobster topped with burgundy"
"2017-03-30",". </s><s> Blue beauty: Lucy Mecklenburgh left The Twisted Halo launch party in London on Wednesday sporting a blue skirt and","black leather","jacket </s><s> The ex-reality star, who is rumoured to be dating handyman Nathan Sharp, sported a T-shirt emblazoned with the"
"2017-04-14","the look with a navy blue baseball cap. </s><s> Meanwhile, Kendall looked effortlessly chic in a white long sleeved top and a","black leather","skirt. </s><s> They were seen having a conversation before paying for their shopping at the self-service checkout. </s><s> Couple:"
"2017-05-04","million in taxes because of the year that I had,"" says Logic (born Sir Robert Bryson Hall II), slumped into the corner of a","black leather","couch in his studio beneath a blown-up cutout of Donald Glover''s face. </s><s> ""Financially, it was incredible. </s><s> For my fans, it"
"2017-05-19","and jewelled black sandals. 70-year-old Sarandon, donning her trademark black sunglasses, went for a floor-length","black leather","skirt, a white shirt, and a cropped black tuxedo jacket. </s><s> Sporting a pair of trainers, Vanessa Redgrave, making her"
"2017-05-19","National Museum of American History. </s><s> Jamie Chung/Smithsonian Institute </s><s> The so-called nuclear football is a","black leather","briefcase that contains top-secret items capable of allowing the US president to authorize a nuclear strike while"
"2017-05-30","titles, such as ""Deconstructed Autumn Fruit Crumble."" </s><s> One of the looks features a vintage turban teamed up with a","black leather","jacket and black patent Dr. Martens. </s><s> Naturally there was also a preppy look featuring oversized glasses and a jaunty"
"2017-06-06","heels. </s><s> Gomez''s fifth outfit was for her arrival at Music Choice studios. </s><s> She wore a black and white striped dress and a","black leather","jacket, and stepped back into her Louis Vuitton sandals. </s><s> For her final look of the day -- and possibly her favorite,"
"2017-06-14","denim with a low-cut olive chocker top, which allowed her to flash a hint of flesh. </s><s> Victoria donned a pair of towering","black leather","boots which only served to accentuate her figure further. </s><s> Topping things off swishly, she draped a leather"
